,E0,J,K',K0,Ksym,L,Qsym,m*,Max_mass,R(1.4),lambda(1.4)
SV-mas10,-15.886901859677593,29.865072186581735,373.52285411670044,229.09080155755828,-246.90056222274742,28.903736561103145,400.11039451033946,0.9999996779255564,3.9383042604868024e-08,0.0002953580114990473,2.021607605482291e+16
SV-min,-15.883404981131534,30.28283666952363,387.38756881215653,213.91157647615267,-151.9506189442597,45.00258292684963,378.69150018950853,0.9529805692182504,1.6292164325714111,10.219405870462964,119.14619395388668
SV-sym28,-15.839352943443101,27.972036591402883,368.46816166942915,227.54695288451055,-290.1832012867553,8.658516466117721,556.8167214028919,0.901155109723935,1.1386563691928586e-08,0.0002953580114990473,-1.7653653468872704e+16
SV-sym32,-15.915951516348212,31.712211831548156,370.441040935374,228.48657589310577,-145.53650133786536,56.969470053296064,253.02880785319272,0.9011539979518619,1.7013320922851562,11.23520229417751,229.72704416487971
SV-sym34,-15.943809056968835,33.62740154940544,372.01020481043906,229.2338131007073,-77.40023950439472,80.1973387459415,109.7191261583232,0.901153882194335,2.024576187133789,12.918745572519558,663.0576200288223
SV-tls,-15.87203607006039,29.835057744157485,369.2954045082573,227.9411885459545,-213.71952314272002,33.85553926848983,396.20618081048104,0.9011529066371964,1.0857694149017334,0.0,0.0
SVI,-15.55629973880845,26.432888806487256,-162.03363598942994,440.46048451319416,-559.1998386538617,-24.109532796340442,160.61104448865274,0.9448905404368336,1.516018033027649,6.885345430488985,3.3635324351510256
SVII,-15.58578814126263,26.40437489776261,-174.9220787639718,444.9310999886523,-580.998754466108,-27.976222409963647,165.05090205089917,1.000662347474223,1.81813645362854,7.349334845903121,5.165706534446312
SkI1,-15.926747299203315,36.411477067770385,333.8777669165701,234.95011804042198,227.10732924275572,156.0543571066959,-317.04204290540514,0.6977773657986258,2.7942020893096924,14.821683773893435,-6606.377233955584
SkI2,-15.756238071787186,33.26774950317699,337.63264768927337,239.64670734896308,70.1295121011629,103.92460859926076,51.86706896124483,0.6858408266232201,2.520888090133667,13.915341989269075,1295.6895327101765
SkI3,-15.961026469289093,34.68884876887571,301.17131334474755,256.22827291661156,72.01627160164806,99.96854348514532,211.1687121727968,0.5786508729252908,2.5974135398864746,13.948800095342229,1244.2188870288148
SkI4,-15.918855429826301,29.12208910811532,320.0864275364405,240.4559102916645,-41.21801122793368,59.51483447205612,345.1512474690988,0.6540340541602775,2.289196491241455,12.453517926770443,592.2892183197444
SkI5,-15.826383796028189,36.99724035168357,306.1520960728403,259.03657029463545,162.11654663826576,130.8044137909125,10.618926823303168,0.5770153433570743,2.7539052963256836,14.632347539926766,1826.0726978374714
SkI6,-15.8955129842827,29.842957214304278,319.91135148959864,243.54247206179096,-47.70176131602903,59.15539455426151,374.60926415861366,0.6430701769628375,2.292982816696167,12.484267335214478,589.4956281318474
SkM,-15.746740136299763,30.415060779497956,374.2870143608393,210.33120000832864,-144.9356893054372,49.35630784617687,316.1049567586065,0.7921421631501397,1.6559034585952759,10.63241885750974,155.86542659794077
SkM1,-15.746740136299735,25.41500669319972,374.2870143608393,210.33120000832864,-379.1985692257947,-31.98578459380981,891.4315448714998,0.7921421631501397,1.8317997455596924,7.369765646775751,5.257767585099847
SkMP,-15.541833814211042,29.89024069687117,337.7623255138362,230.74625443295096,-49.8279719683193,70.3182176666196,159.4877721483339,0.6537829790296027,2.1888620853424072,12.776400566101074,679.6489696261228
SkMs,-15.746740136299763,29.72635484947007,374.2870143608393,210.33120000832864,-151.82274860571604,45.91277819603745,322.9920160588854,0.7921421631501397,1.5973701477050781,10.248160438603001,118.51671399681861
SkO,-15.810419237870617,31.412897036403276,379.76851477282173,216.5434773526649,-42.27130904553181,77.76871756515317,128.85231644133123,0.8980936439277954,2.106372833251953,12.793101951741512,668.175644931969
SkOp,-15.72658054217051,31.50141306005726,378.72168525972893,216.07834563416316,-77.18617699782354,68.10267467949332,219.05376000918744,0.8980928077681981,1.9978346824645996,12.289911477543999,479.99221674290175
SkP,-15.916983258821517,29.772949377454598,415.1387938708538,192.2707680161633,-254.39070029051956,21.975859997503854,487.91441982195863,1.0000021675110191,1.2217851877212524,6.123498916625977,3.8200604915618896
SkSC1,-15.827847118381001,28.100645367348235,366.2350614921988,226.8107874640784,-303.0120985380053,2.4807033797426774,654.5723029977964,1.0,1.0670565764314688e-08,0.0002953580114990473,-6874540760104960.0
SkSC10,-15.934919341571955,22.684252220092603,368.4541135402423,227.92031343262386,-167.85460737787605,20.02089757274241,384.2573071617887,1.0,1.5256750583648682,8.909545572964616,53.16893578752602
SkSC11,-15.839658584265294,28.820336814724868,366.5314997428918,226.95900658201393,-319.95803463025663,0.40329359289763084,688.4641768768926,1.0,5.321620477616307e-08,0.0002953580114990473,1.2818248290533376e+16
SkSC14,-15.895358484507028,29.748720237054144,367.52245046663637,227.45448191911248,-196.98528971728425,33.931630856708196,442.5186747536733,1.0,1.4364573955535889,8.691642414258691,33.667264505714584
SkSC15,-15.855208877442124,27.949623058323255,366.5907873930303,226.98865040560108,-276.114872157089,8.751943216004486,600.777847546241,1.0,8.497370799886994e-06,0.0002953580114990473,3.484022838531195e+17
SkSC2,-15.874018645564448,24.657891785837684,367.3022391946931,227.34437628864612,-221.72957682436385,12.473073571637169,492.0072514422613,1.0,1.1300233602523804,7.044084072113037,40.80485153198242
SkSC3,-15.820235025850726,27.001956507796507,366.0698720464748,226.72817724946188,-287.66360845595597,3.021761139292917,623.8752868635485,1.000000141837676,0.0,0.0,0.0
SkSC4,-15.839658584265294,28.820336814724868,366.5314997428918,226.95900658201393,-319.95803463025663,0.40329359289763084,688.4641768768926,1.0,6.475350033952054e-08,0.0002953580114990473,1.13921860042752e+16
SkSC4o,-15.819426430557385,27.057162910329453,366.2223569957407,226.80443521616695,-328.02679285884346,-6.90341772786511,704.601694140942,1.0,0.0,0.0,0.0
SkSC5,-15.821117656380096,31.03987224563268,366.0910771990052,226.73879532108117,-364.16783598039973,-3.9905507282260393,776.883783998159,1.0,2.666326359701543e-08,0.0002953580114990473,3.606276162034074e+16
SkSC6,-15.89535848450707,24.493248457449212,367.52245046663626,227.45448191911242,-219.69933916771754,12.48670301332228,487.94677592594485,1.0,1.1482670307159424,7.109945297241211,39.000064849853516
SkT,-15.309739121500108,25.447660625258724,-21.18225400384671,377.67014753627734,-266.28805704114694,24.729081683766893,71.3409818384381,0.5872171900191161,2.019714832305908,11.198788122758822,285.91537466742585
SkT1,-15.952087928802925,31.558332401960925,367.78924489225983,227.58787912525437,-130.79917532617225,55.906996362869776,310.14643935283794,1.0,1.8246023654937744,11.373318668668963,264.5766374439968
SkT2,-15.916658740562085,31.538297540711692,366.942278461709,227.16439593115305,-130.63288759195518,55.888463713715666,309.8138638677749,1.0,1.8236500024795532,11.369707842861358,263.7985941136208
SkT3,-15.917846659386157,31.04612905747184,367.02697510476406,227.20674425056325,-128.12109583888852,55.03990621796147,304.7902801104625,1.0,1.8293137550354004,11.352478908650122,264.95766163275044
SkT4,-15.934123110025823,35.069747565704425,374.90376290888764,231.1451379557053,-24.27525278668994,93.0722231547454,97.09858362148105,1.0,2.2322168350219727,13.512898971220928,936.3369329591281
SkT5,-15.957965029813778,35.609949240704424,411.1991236568931,190.6951840298073,-24.27525278668994,94.6928281797454,97.09858362148105,1.0,2.0795230865478516,13.319209446390808,823.053711671267
SkT6,-15.937395225863128,29.723429755125146,368.0009864998977,227.69374992377973,-205.20138941323768,31.801734435582244,458.9508749671901,1.0,1.3762092590332031,8.263408660888672,25.213449478149414
SkT7,-15.912068554803325,29.289902443160432,358.56479881676324,227.84500299294447,-203.7643166954494,31.993271847948687,427.7345483893735,0.8359084079513975,1.4011948108673096,8.406782665851567,24.826924173952197
SkT8,-15.917027237499525,29.671038837291146,358.5152119898012,227.79541616598246,-182.62969848544967,34.384519870044194,464.02178974364017,0.8360670109188899,1.647879958152771,9.839638031091473,95.88555069417261
SkT9,-15.85805383775443,29.531248766020997,358.47428320368647,227.77633514681474,-181.24272464350662,34.324935348047774,461.04673085267245,0.83606701091889,1.6535866260528564,9.87057678449941,98.41668346059619
SkTK,-16.614445130949655,34.60667730609759,309.0780757488157,227.8158991604882,-204.26791945146434,43.550529818901104,489.4354223772071,0.6270672483669103,1.6908156871795654,10.315124268495461,118.7696206967373
SkX,-16.032131592188637,31.22061774893139,303.2277028183989,275.4816625969891,-255.93266400930455,32.699163047051904,384.8752341332542,0.9930868680979976,1.3660591840744019,8.415510177612305,27.694568634033203
SkXce,-15.839789291685376,30.330938088496225,300.8239522683871,272.9151980331851,-242.34100103720493,33.15103343202241,362.2255937943925,1.0063134579717368,1.4420827627182007,8.943656627367721,39.71944149619217
SkXm,-16.025420485369885,31.080870175893864,372.98766949927443,233.9903435779467,-238.88526663993312,32.637945617320085,422.6211721394937,0.9663475791347692,0.5925475358963013,7.208885192871094,1869.68017578125
Skyrme1p,-15.97212839798016,29.488846048620594,-153.32081726864712,378.83584117147683,-264.2289033843782,34.806785881595026,143.0123122900068,0.9105818320117498,2.214977741241455,11.656534743875458,362.1282122077696
T,-15.905877846870041,28.11263935404414,365.7564608392897,226.57136552952568,-199.94868614130888,28.282529201517484,448.4456260041522,1.0,1.3808465003967285,8.207145690917969,24.571138381958008
UNEDF0,-16.031213508711716,30.21799279550991,389.4777872681379,222.84361345999983,-183.50519703256305,45.47776764102161,279.9889428539585,1.1082969406171073,1.0171525478363037,9.251331329345703,399.9713439941406
UNEDF1,-15.780085931066056,28.852494592979347,397.3950883569449,216.6879199652524,-176.7907138957696,40.23477871173494,319.76844200566,1.0075448728320822,1.1544885635375977,0.0,0.0
Z,-15.950720828769931,27.030805181864512,61.05512709849944,322.47451632799863,-643.8329725109352,-46.40826765821708,485.8635356937576,0.8441959132814946,0.0,0.0,0.0
ZR1a,-16.78603039173204,11.370008815704423,-174.77745051866594,324.76026188395815,-392.73096968668995,-39.43627924525459,97.09858362148105,1.0,1.3906939029693604,6.670917510986328,2.8309457302093506
ZR1b,-16.786030391732048,19.250623815704422,-174.77745051866594,324.76026188395815,-392.73096968668995,-15.7944342452546,97.09858362148105,1.0,1.1959630250930786,6.038735389709473,4.013089179992676
ZR1c,-16.78603039173204,31.071546315704424,-174.77745051866594,324.76026188395815,-392.73096968668995,19.668333254745406,97.09858362148105,1.0,1.3526094022608959e-08,0.0002953580114990473,-3.298392075665408e+16
ZR2a,-16.812157480274152,4.00536090424653,140.52052400132368,271.6025198192456,-339.57322762197737,-63.18053178407385,412.3965581414706,1.0,0.0,0.0,0.0
ZR2b,-16.812157480274152,13.36413090424653,140.52052400132368,271.6025198192456,-339.57322762197737,-35.104221784073864,412.3965581414706,1.0,2.772561025210507e-08,0.0002953580114990473,-1.5980365348864e+16
ZR2c,-16.812157480274152,27.402285904246533,140.52052400132368,271.6025198192456,-339.57322762197737,7.01024321592615,412.3965581414706,1.0,0.0,0.0,0.0
ZR3a,-16.851133576300015,-121.55566299972762,412.9907149911343,173.99645813573605,-241.96716593846787,-442.77125495118037,684.8667491312813,1.0,0.0,0.0,0.0
ZR3b,-16.851133576300015,-87.07689299972765,412.9907149911343,173.99645813573605,-241.96716593846787,-339.3349449511804,684.8667491312813,1.0,2.2051626729080454e-06,0.0002953580114990473,-1934893056.0
ZR3c,-16.851133576300015,-35.35873799972762,412.9907149911343,173.99645813573605,-241.96716593846787,-184.18047995118036,684.8667491312813,1.0,0.0,0.0,0.0
