rho/rho0,P(MeV/fm3)
1.9992435703479576, 38.16105268670991
2.117246596066566, 44.52501182342475
2.2851739788199694, 56.33593713512093
2.407715582450832, 66.80106494270403
2.5711043872919825, 83.83921500700548
2.775340393343419, 108.71449790663075
2.9432677760968238, 124.88517941640508
3.1475037821482603, 148.21413534049017
3.2791225416036314, 164.800216337916
3.4107413010590015, 183.24238266904646
3.5378214826021184, 202.10470338979454
3.7375189107413016, 226.703622534906
3.900907715582451, 250.13716375284588
4.0597579425113475, 271.57126585543716
4.214069591527989, 294.82767880428565
4.391074130105901, 322.74162970908554
4.527231467473525, 344.7162699708242
4.599848714069592, 353.418951589568
4.595310136157337, 303.27395079181275
4.604387291981846, 221.57144514999766
4.599848714069592, 196.35640806305568
4.47730711043873, 189.88373928004435
4.25945537065053, 174.7861895891896
4.055219364599093, 163.52454051407366
3.814674735249622, 145.71708283467476
3.5877458396369137, 126.76867916913515
3.338124054462935, 106.76321760752464
3.0612708018154313, 87.03989840221531
2.8298033282904687, 72.73043683678476
2.648260211800303, 62.79611530999467
2.403177004538578, 49.19206957868221
2.2261724659606656, 40.471920603407625
2.1036308623298035, 35.53353943259735
2.01285930408472, 31.971333155464038
1.9992435703479576, 38.16105268670991
