rho/rho0,P(MeV/fm3)
0,0
0.11437908496732052,9.401709401709383
0.2450980392156863,16.23931623931624
0.4411764705882353,23.07692307692308
0.6535947712418302,27.77777777777777
0.7679738,29.48718
1,31.719128329297817
1.2129629629629628,32.20338983050847
1.4907407407407405,30.992736077481837
1.666666666666667,29.539951573849876
1.8425925925925926,27.360774818401936
2.0277777777777777,24.69733656174334
2.2222222222222223,21.065375302663426
2.416666666666667,16.70702179176756
2.5740740740740735,12.832929782082331
2.731481481481482,8.716707021791763
2.8703703703703694,5.0847457627118615
3.018518518518518,0.4842615012106535
