rho/rho0,P(MeV/fm3)
4.599667774086377, 199.71462655650464
4.59468438538206, 115.57956971085476
4.58970099667774, 67.48133902376163
4.59468438538206, 55.086095773427566
4.315614617940199, 54.73685089015322
4.0066445182724255, 53.926317738448866
3.5780730897009967, 41.54323130283825
3.323920265780731, 33.69147435207326
3.1096345514950166, 28.04666739507631
2.895348837209302, 23.142543811068506
2.676079734219269, 18.597979533834412
2.4867109634551494, 15.342641190414966
2.337209302325581, 11.790450603300025
2.197674418604651, 9.55236693266926
2.0033222591362128, 7.343669310360452
1.9983388704318936, 13.14636750517142
2.1578073089700998, 18.195216633248233
2.347176079734219, 26.311840030001637
2.5813953488372094, 41.17713508105031
2.7109634551495017, 52.19248480175831
2.9252491694352156, 66.10514028760889
3.1694352159468435, 83.70433074457092
3.3637873754152823, 99.6854185224407
3.4933554817275745, 113.65969110082466
3.7275747508305646, 128.33612627389905
3.976744186046511, 148.7744501213848
4.300664451827242, 175.42206329000885
4.599667774086377, 199.71462655650464
