,Pressure1,Pressure2,Pressure3
1,0.37905454,32.86983645,862.5857641
2,0.823355931,34.6402136,935.6098082
3,0.839867772,34.11383957,737.6475995
4,0.836557896,35.28343559,940.4794561
5,0.844971633,49.65286784,813.2462631
6,0.86307128,35.74716021,936.939216
7,0.743479381,38.25642291,897.5685681
8,0.751881849,40.12275551,698.5624824
9,0.767994695,-7.97097714,694.7344693
10,0.465701289,5.803369653,930.1189375
11,0.599049314,15.66045276,745.0923879
12,0.446915162,22.62368618,809.1243101
13,0.45464478,24.64606209,724.120733
14,0.41137203,20.59130806,907.0088986
15,0.75688868,48.9815586,784.25992
16,0.807554109,46.38467032,841.7693156
17,1.573454954,108.4827162,846.8066971
18,0.783592998,48.14714213,724.4239023
19,0.899504726,52.92018548,771.8474077
20,1.025665394,57.40149688,921.2228626
21,1.125923676,46.24285406,664.8652397
22,0.792740981,34.71011098,736.2618474
23,0.98214156,64.00579542,932.0285813
24,1.103302527,63.03243608,888.4401368
25,0.762879421,29.05821979,768.3807874
26,0.759879281,26.60510097,739.0238877
27,0.377379234,-2.679767725,920.7718025
28,0.386435936,-3.93783037,759.474988
29,0.416518658,1.691832426,771.085371
30,0.414691203,-0.620204662,689.1908938
31,0.410181506,-0.78331104,940.2267002
32,0.399471725,-3.821448351,771.7728236
33,0.419448053,2.083064048,850.1432137
34,1.032457843,93.6124281,864.4299674
35,1.193703517,59.66811521,693.9802082
36,2.899370332,233.6668764,765.2102063
37,1.845005469,109.4326275,793.902703
38,1.069784203,24.63682114,710.6601174
39,1.083999078,36.97053619,789.9774891
40,1.1199155,47.683998,814.3709056
41,1.155848552,55.6088417,906.1199872
42,0.755029941,37.50695269,810.3268505
43,1.444822568,99.40081438,941.6645935
44,0.770422316,62.14763944,836.4373763
45,1.076320434,97.75721512,774.1957437
46,0.781806375,39.27487948,794.9295464
47,1.801028396,114.7276895,866.325762
48,5.145632266,149.7073197,653.2492589
49,1.216980447,-14.24677909,902.7862706
50,0.469523122,64.29151829,925.1901322
51,0.804213284,6.209986687,673.3700537
52,1.260445378,26.95993324,875.773681
53,1.779604416,104.4228778,680.9140821
54,1.728501217,98.24749686,931.239072
55,1.112840974,104.6775186,806.0306795
