Model,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3,CrustSmooth,EOSType,Input,MaxMass,MaxMassRequested,PCentral,PCentral2MOdot,PCentralMaxMass,PRCTransDensity,PolyTropeDensity,R(1.4),RadiusCheckpoint0,RadiusCheckpoint1,RadiusCheckpoint2,RadiusCheckpoint3,RadiusCheckpoint4,RadiusCheckpoint5,SkyrmeDensity,SoundHighDensity,TranDensity,lambda(1.4),P(0.67rho0),P(1.5rho0),P(2rho0),P(3rho0),P(rho0),P_Sym(0.67rho0),P_Sym(1.5rho0),P_Sym(2rho0),P_Sym(rho0),Sym(0.67rho0),Sym(1.5rho0),Sym(2rho0),Sym(rho0),ViolateCausality,AgreeLowDensity
SKRA,-2895.4,405.5,-89.1,16660.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.1422,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3916077613830566,2.0,90.4641900755565,216.5696191430276,826.0002329324473,0.3,0.48,11.65926456451416,5.7930097579956055,5.7931575775146475,10.66765022277832,11.003898620605467,11.261880874633787,11.63371753692627,0.048,0.48,0.00023552,262.57577514648443,1.1647372334052326,8.542877045720841,17.605455711095676,48.841197350744714,3.104706996317392,-0.6339317419249599,3.886391077636234,12.510878979456468,0.015689258058196355,24.626049261595732,38.494095294215285,42.6517627088957,31.39445157859736,False,True
SKa,-1602.78,570.88,-67.7,8000.0,0.0,0.0,-0.02,0.0,0.0,-0.28600000000000003,0.0,0.0,0.333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.4828169345855717,2.0,53.94854456703549,160.40336765727042,742.8573771623112,0.3,0.48,13.13642406463623,0.00014768638357054442,0.00029535801149904733,11.89169979095459,12.283915519714355,12.603919982910154,13.10172176361084,0.048,0.48,0.00023552,580.6326904296875,1.4864470871476123,14.069368125622196,31.154326156237673,94.46879130100642,4.546803686055918,-0.7140247668904384,5.40144120427439,17.447384538549482,0.1456199240714941,24.75178571321397,45.32322070222936,55.26220875853151,33.661660629448185,False,True
SKzm1,-2471.1,439.85,-299.14,13732.8,0.0,0.0,-0.2665,1.2968,-0.8899,-0.7282,0.0,0.0,0.1694,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.373181104660034,2.0,95.87882476407431,227.68037075891726,839.7206198880756,0.3,0.48,11.499189376831055,6.451920509338379,6.452068328857423,10.523226737976074,10.86656379699707,11.11539077758789,11.474527359008787,0.048,0.48,0.00023552,236.1721343994141,1.3226515499059068,8.497798946226691,16.259806971781963,39.63976703983304,3.349857360238088,-0.6683648179869461,4.1102945233483394,13.383392372813699,0.001644412964514413,24.8824164612244,38.62276955544362,40.82297707184296,32.010597907033265,False,True
SV-K218,-2295.822,320.278,330.798,14557.194,0.0,0.0,0.19180277,-0.9251343,-1.8008143,0.068065603,0.0,0.0,0.22,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.324355125427246,2.0,113.21020123820507,262.5945554909098,884.0494162640903,0.3,0.48,10.581262588500977,7.307234764099121,7.9332146644592285,9.781325340270996,10.058061599731444,10.270856857299805,10.561326026916504,0.048,0.495349566085199,0.00023552,163.35659790039062,0.8875530891271355,4.9234873775847285,9.144589671725685,21.59968004324641,2.0602524671815368,-0.6515881632149102,3.7017415169302748,11.982902768165498,-0.03270186061446257,24.719694002667058,33.145079162007704,31.936459320733057,29.90557985755304,False,True
SV-K226,-2055.773,317.043,247.652,13344.393,0.0,0.0,0.21749795,-0.71722267,-1.975946,0.081931749,0.0,0.0,0.26,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.328296899795532,2.0,112.2432513469304,259.9322689890419,882.0884079237566,0.3,0.48,10.61448860168457,7.302952289581299,7.872964859008789,9.81085968017578,10.086709976196287,10.301719665527344,10.594552993774414,0.048,0.4935252643404321,0.00023552,166.01222229003906,0.8759333185869179,4.955192487150507,9.334803343574707,22.64077802931025,2.045264869959579,-0.6641433296880865,3.945693045483375,12.758186121501724,-0.010019074283823648,24.829691225923533,33.00448093773558,31.41365546033293,29.97661076807192,False,True
SV-bas,-1879.639,313.749,112.677,12527.376,0.0,0.0,0.25854594,-0.381689,-2.8236379,0.12322898,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3275108337402344,2.0,112.56220183703228,260.56464384424567,881.3713990683376,0.3,0.48,10.582443237304688,7.3079729080200195,7.895706176757812,9.78989028930664,10.05776596069336,10.27218532562256,10.562655448913574,0.048,0.4940973971427945,0.00023552,164.83297729492188,0.8493834981136489,4.760903512731772,9.01586540432242,22.177241451910767,1.965211084586086,-0.6767367676998086,4.1930899578707015,13.554092199079546,0.012250390595566206,25.03156809355033,32.59137379534161,30.251177463918673,30.037483333672878,False,True
SV-kap00,-1877.891,312.6,7.104,12509.993,0.0,0.0,0.393391,-1.45482,-26.089659,0.640506,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3827955722808842,2.0,96.32142799004076,224.2094980515476,837.0706074341986,0.3,0.48,11.22998332977295,6.439368724822997,6.439516067504883,10.375850677490234,10.624234199523926,10.868335723876953,11.20665168762207,0.048,0.48,0.00023552,226.16134643554688,0.8037859948241749,6.29718767743033,13.790540928389525,42.11554024055006,2.155050282347565,-0.6775486049895965,4.177495856312314,13.517748590542359,0.008053445922826722,24.5928905459725,34.63473593162493,36.099392656377795,30.030112485035573,False,True
SV-kap20,-1878.883,313.245,44.042,12519.928999999998,0.0,0.0,0.33139755,-0.8796716999999998,-5.2673510000000014,0.3902358,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.357018232345581,2.0,104.62325698078591,241.01229118195283,855.1826114922817,0.3,0.48,10.8937349319458,7.23886251449585,7.2849364280700675,10.070908546447754,10.33051586151123,10.559259414672852,10.872323036193848,0.048,0.480848100178807,0.00023552,190.66212463378903,0.8223208809073226,5.462468976774101,11.251305482009961,31.687092415432442,2.041235687418369,-0.6770269538618219,4.186793729905893,13.539292182839901,0.010599012229089929,24.844449521389194,33.53670183208435,32.9907263953442,30.035616128919848,False,True
SV-kap60.,-1880.594,314.373,194.94,12537.0,0.0,0.0,0.18380512,0.08254251900000001,-2.1619715,-0.14667428,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.282278060913086,2.0,123.1586323618304,292.9572863659011,919.1250570263353,0.3,0.48,10.228622436523438,7.318605422973633,8.361462593078612,9.477269172668457,9.746622085571287,9.94479751586914,10.210606575012207,0.048,0.5153299861070999,0.00023552,140.50111389160156,0.8782611233221703,4.084182240851732,6.835877796488807,12.83060016517241,1.8965438529261676,-0.6762494725537445,4.201851784790779,13.574386141574399,0.014646538861845691,25.209569322837734,31.67309414759646,27.573320817724213,30.040701167616643,False,True
SV-mas08,-1982.65,368.228,274.611,12141.094,0.0,0.0,0.28565257,-1.0374037,-1.7808251,0.33936396,0.0,0.0,0.26,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3753533363342285,2.0,98.0787726580464,228.44609679589803,839.7300883838382,0.3,0.48,11.220532417297363,6.6313414573669425,6.631489276885986,10.334797859191896,10.616703033447266,10.859770774841307,11.197348594665527,0.048,0.48,0.00023552,219.45590209960938,0.8927330891090584,6.552331776809669,13.83219764418133,40.041048813746215,2.3418721350888383,-0.6753655417798371,4.186534551521294,13.57873621080983,0.008948759242189772,24.466990573138624,34.57702967593717,35.53989989679565,30.03359296905064,False,True
