,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
QMC1,-1071,651,-352,16620,NaN,NaN,0.89,0,0,1,NaN,NaN,1,NaN,NaN
QMC2,-1082,400,-146,14926,NaN,NaN,0.59,0,0,1,NaN,NaN,1,NaN,NaN
QMC3,-1047,373,-136,12531,NaN,NaN,0.61,0,0,0,NaN,NaN,1,NaN,NaN
QMC600,-2510.0376,520.9512,-221.0096,14651.7525,NaN,NaN,0.17,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC650,-2462.6784,436.0993,-151.9441,14154.4809,NaN,NaN,0.13,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC700,-2429.1323,370.9804,-96.6917,13773.634,NaN,NaN,0.1,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC750,-2403.4794,319.6746,-55.2524,13473.6924,NaN,NaN,0.08,0,0,0,NaN,NaN,0.17,NaN,NaN
RATP,-2160,513,121,11600,NaN,NaN,0.418,-0.36,-2.29,0.586,NaN,NaN,0.2,NaN,NaN
Rs,-1798,335.97,-84.81,11083.9,NaN,NaN,-0.4036,0,0,-0.8705,NaN,NaN,0.3,NaN,NaN
s10hs20,-1810.0208,275.5443,-256.9421,12858.7705,NaN,NaN,0.16703,-0.5,-0.5,0.08449,NaN,NaN,0.333333,NaN,NaN
s10s16,-1809.8632,268.8075,-250.4112,12869.7432,NaN,NaN,0.417502,-1.019199,-0.5,0.630637,NaN,NaN,0.3333333,NaN,NaN
s10s20,-1810.9806,276.8115,-256.2614,12859.2715,NaN,NaN,0.183175,-1.019199,-0.5,0.217028,NaN,NaN,0.3333333,NaN,NaN
s10s24,-1812.9939,285.4754,-262.1108,12854.9023,NaN,NaN,-0.034787,-1.019199,-0.5,-0.178629,NaN,NaN,0.3333333,NaN,NaN
s11hs20,-1807.0868,277.8984,-254.4271,12797.7002,NaN,NaN,0.181,-0.69974,-0.5,0.15224,NaN,NaN,0.3333333,NaN,NaN
s11s16,-1807.1481,271.2806,-248.3393,12812.499,NaN,NaN,0.41747,-0.993672,-0.5,0.630796,NaN,NaN,0.3333333,NaN,NaN
s11s20,-1807.9915,278.779,-253.8823,12800.3311,NaN,NaN,0.186894,-0.993672,-0.5,0.222431,NaN,NaN,0.3333333,NaN,NaN
s11s24,-1810.5554,288.1223,-259.9058,12799.2275,NaN,NaN,-0.034802,-0.993672,-0.5,-0.181056,NaN,NaN,0.3333333,NaN,NaN
s12hs20,-1811.5182,270.6487,-85.6679,12906.8672,NaN,NaN,0.14178,-1,1,0.05379,NaN,NaN,0.333333,NaN,NaN
s12s16,-1811.3925,264.3297,-83.3801,12914.1191,NaN,NaN,0.399658,-1.521264,1,0.609995,NaN,NaN,0.3333333,NaN,NaN
s12s20,-1812.4719,272.2642,-85.4006,12904.6133,NaN,NaN,0.158937,-1.521264,1,0.187137,NaN,NaN,0.3333333,NaN,NaN
s12s24,-1814.1757,280.8729,-87.3088,12896.1914,NaN,NaN,-0.062198,-1.521264,1,-0.211851,NaN,NaN,0.3333333,NaN,NaN
s15hs20,-2542.9163,444.0424,-99.1234,14309.6211,NaN,NaN,0.1893,0,0,0.1217,NaN,NaN,0.1666666,NaN,NaN
s15s16,-2578.8325,420.0641,-101.3567,14730.4336,NaN,NaN,0.472264,-0.08089,0,0.568044,NaN,NaN,0.1666666,NaN,NaN
s15s20,-2544.6353,443.4456,-99.7322,14329.9727,NaN,NaN,0.183216,-0.08089,0,0.127269,NaN,NaN,0.1666666,NaN,NaN
s15s24,-2548.4617,454.3228,-103.1147,14332.0537,NaN,NaN,-0.071647,-0.08089,0,-0.280899,NaN,NaN,0.1666666,NaN,NaN
