,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SLy3,-2481.09,480.95,-540.85,13731,0,0,0.83800000,-0.33810000,-1.00000000,1.35780000,0,0,0.1666667,0,0
SLy4,-2488.913,486.818,-546.395,13777,0,0,0.83400000,-0.34380000,-1.00000000,1.35400000,0,0,0.1666667,0,0
SLy5,-2483.45,484.23,-556.69,13757,0,0,0.77600000,-0.31700000,-1.00000000,1.26300000,0,0,0.1666667,0,0
SLy6,-2479.5,462.18,-448.61,13673,0,0,0.82500000,-0.46500000,-1.00000000,1.35500000,0,0,0.1666667,0,0
SLy7,-2480.8,461.29,-433.93,13669,0,0,0.84800000,-0.49200000,-1.00000000,1.39300000,0,0,0.1666667,0,0
SLy8,-2481.41,480.78,-538.34,13731,0,0,0.80240000,-0.34240000,-1.00000000,1.30610000,0,0,0.1666667,0,0
SLy9,-2511.13,510.6,-429.8,13716,0,0,0.79980000,-0.62130000,-1.00000000,1.37270000,0,0,0.1666667,0,0
SV,-1248.29,970.56,107.22,0,0,0,-0.17000000,0.00000000,0.00000000,1.00000000,0,0,1,0,0
SV-kap00,-1877.891,312.6,7.104,12509.993,0,0,0.39339100,-1.45482000,-26.08965900,0.64050600,0,0,0.3,0,0
SV-kap20,-1878.883,313.245,44.042,12519.929,0,0,0.33139800,-0.87967170,-5.26735100,0.39023580,0,0,0.3,0,0
SV-mas07,-2203.658,438.349,566.846,12222.736,0,0,0.35436900,-1.78293960,-1.43693220,0.63253409,0,0,0.2,0,0
SV-mas08,-1982.65,368.228,274.611,12141.094,0,0,0.28565300,-1.03740370,-1.78082510,0.33936396,0,0,0.26,0,0
SV-mas10,-1813.907,270.452,57.215,12965.454,0,0,0.23289800,0.12718125,-4.79520370,-0.06234627,0,0,0.33,0,0
SV-min,-2112.248,295.781,142.268,13988.567,0,0,0.24388600,-1.43492630,-2.62589910,0.25807017,0,0,0.255368,0,0
SV-sym32,-1883.278,319.184,197.329,12559.469,0,0,0.00768800,-0.59430727,-2.16921490,-0.30953656,0,0,0.3,0,0
SV-sym34,-1887.367,323.804,351.782,12597.277,0,0,-0.23011000,-0.95958627,-1.77547510,-0.72185432,0,0,0.3,0,0
SkI1,-1913.619,439.809,2697.594,10592.267,0,0,-0.95453600,-5.78238800,-1.28737900,-1.56142100,0,0,0.25,0,0
SkI2,-1915.43,438.449,305.446,10548.9,0,0,-0.21080000,-1.73760000,-1.53360000,-0.17800000,0,0,0.25,0,0
SkI3,-1762.88,561.608,-227.09,8106.2,0,0,0.30830000,-1.17220000,-1.09070000,1.29260000,0,0,0.25,0,0
